"Date","Price","Open","High","Low","Vol.","Change %"
2024- 12- 30,"38,200","38,800","39,150","38,100",1.10M,-1.67%
2024- 12- 27,"38,850","38,550","39,400","38,350",1.22M,0.78%
2024- 12- 26,"38,550","39,650","39,850","38,400",1.91M,-2.41%
2024- 12- 24,"39,500","39,750","40,150","39,500",1.10M,-0.50%
2024- 12- 23,"39,700","41,000","41,000","39,200",2.12M,-2.70%
2024- 12- 20,"40,800","40,800","41,500","40,350",1.95M,-0.97%
2024- 12- 19,"41,200","42,050","42,700","40,850",2.39M,-5.07%
2024- 12- 18,"43,400","43,000","43,750","42,800",1.50M,1.28%
2024- 12- 17,"42,850","43,650","44,250","42,700",2.00M,-2.50%
2024- 12- 16,"43,950","47,000","47,050","43,550",4.18M,-4.25%
2024- 12- 13,"45,900","43,700","46,450","43,400",4.56M,5.03%
2024- 12- 12,"43,700","45,000","45,250","42,500",3.73M,-2.02%
2024- 12- 11,"44,600","44,250","45,300","43,900",2.20M,1.71%
2024- 12- 10,"43,850","43,000","44,000","42,950",2.61M,3.66%
2024- 12- 09,"42,300","43,050","45,100","42,050",4.14M,-4.94%
2024- 12- 06,"44,500","44,400","45,650","42,850",6.65M,0.91%
2024- 12- 05,"44,100","45,700","46,150","43,600",5.17M,-5.36%
2024- 12- 04,"46,600","42,200","47,100","41,600",13.73M,8.50%
2024- 12- 03,"42,950","42,450","43,000","42,050",3.14M,1.90%
2024- 12- 02,"42,150","40,550","42,500","40,150",5.56M,5.11%
2024- 11- 29,"40,100","38,150","40,900","38,000",5.31M,4.97%
2024- 11- 28,"38,200","38,500","38,700","37,750",1.20M,-0.39%
2024- 11- 27,"38,350","37,100","38,400","37,000",2.25M,3.65%
2024- 11- 26,"37,000","35,850","37,100","35,850",1.22M,2.35%
2024- 11- 25,"36,150","36,400","36,450","35,850",1.17M,0.28%
2024- 11- 22,"36,050","35,200","36,450","35,150",1.09M,2.56%
2024- 11- 21,"35,150","34,850","35,850","34,850",961.35K,-0.99%
2024- 11- 20,"35,500","35,950","36,000","35,250",1.01M,-2.07%
2024- 11- 19,"36,250","34,800","36,250","34,800",1.47M,3.28%
2024- 11- 18,"35,100","33,800","35,200","33,800",1.29M,3.08%
2024- 11- 15,"34,050","33,100","34,550","32,950",1.31M,3.81%
2024- 11- 14,"32,800","33,400","34,350","32,550",1.82M,-1.80%
2024- 11- 13,"33,400","33,000","33,500","32,850",1.18M,0.45%
2024- 11- 12,"33,250","33,400","34,300","33,200",1.41M,-1.34%
2024- 11- 11,"33,700","35,050","35,100","33,700",1.49M,-3.71%
2024- 11- 08,"35,000","36,950","37,250","34,800",2.21M,-4.24%
2024- 11- 07,"36,550","36,550","36,900","36,100",739.28K,0.00%
2024- 11- 06,"36,550","37,750","37,750","36,250",971.90K,-3.18%
2024- 11- 05,"37,750","36,950","37,950","36,800",734.81K,1.07%
2024- 11- 04,"37,350","36,250","37,450","36,250",869.63K,3.32%
2024- 11- 01,"36,150","36,550","36,800","36,150",675.64K,-2.17%
2024- 10- 31,"36,950","37,150","37,700","36,450",1.25M,-1.07%
2024- 10- 30,"37,350","37,350","38,050","37,150",841.16K,0.00%
2024- 10- 29,"37,350","37,250","37,800","37,050",447.39K,-0.27%
2024- 10- 28,"37,450","36,450","37,450","36,250",683.02K,2.60%
2024- 10- 25,"36,500","37,450","37,700","36,100",847.11K,-2.54%
2024- 10- 24,"37,450","37,500","37,650","37,050",630.68K,-0.66%
2024- 10- 23,"37,700","37,750","38,000","37,050",798.30K,0.94%
2024- 10- 22,"37,350","39,300","39,350","37,300",1.76M,-5.20%
2024- 10- 21,"39,400","38,750","39,800","38,600",1.77M,2.34%
2024- 10- 18,"38,500","37,400","38,700","37,400",1.94M,3.08%
2024- 10- 17,"37,350","37,550","37,800","37,300",769.22K,-0.66%
