"Date","Price","Open","High","Low","Vol.","Change %"
"2024- 12- 30","198,900","196,800","201,500","196,400","571.00K","0.61%"
"2024- 12- 27","197,700","198,700","200,500","195,500","659.08K","-1.10%"
"2024- 12- 26","199,900","202,500","203,000","197,000","639.26K","-1.28%"
"2024- 12- 24","202,500","200,500","204,000","200,500","548.38K","0.75%"
"2024- 12- 23","201,000","212,500","213,000","200,000","1.16M","-4.29%"
"2024- 12- 20","210,000","211,000","213,000","208,500","771.63K","0.24%"
"2024- 12- 19","209,500","208,500","211,500","207,500","634.10K","-1.41%"
"2024- 12- 18","212,500","209,500","215,000","209,500","658.02K","1.43%"
"2024- 12- 17","209,500","214,500","215,000","209,000","883.91K","-2.10%"
"2024- 12- 16","214,000","213,500","218,000","211,500","916.61K","1.90%"
"2024- 12- 13","210,000","209,000","212,000","205,000","1.10M","0.96%"
"2024- 12- 12","208,000","219,000","220,000","206,000","2.13M","-4.59%"
"2024- 12- 11","218,000","209,000","218,000","208,500","1.54M","4.31%"
"2024- 12- 10","209,000","204,500","209,000","203,000","897.52K","3.72%"
"2024- 12- 09","201,500","200,500","204,000","200,500","1.20M","-1.47%"
"2024- 12- 06","204,500","204,000","206,000","197,300","1.33M","0.25%"
"2024- 12- 05","204,000","204,500","208,000","203,000","1.04M","0.74%"
"2024- 12- 04","202,500","205,000","209,000","200,500","1.75M","-3.11%"
"2024- 12- 03","209,000","207,500","210,000","204,500","1.10M","2.70%"
"2024- 12- 02","203,500","208,500","210,500","203,000","1.14M","-1.45%"
"2024- 11- 29","206,500","204,500","209,000","201,500","1.20M","0.98%"
"2024- 11- 28","204,500","204,000","208,000","202,000","1.27M","0.74%"
"2024- 11- 27","203,000","196,800","205,000","196,200","2.27M","3.78%"
"2024- 11- 26","195,600","192,200","196,000","192,200","889.50K","1.24%"
"2024- 11- 25","193,200","190,100","193,200","187,400","2.31M","1.68%"
"2024- 11- 22","190,000","189,600","190,800","187,400","729.67K","0.16%"
"2024- 11- 21","189,700","192,600","192,700","188,900","881.80K","-1.76%"
"2024- 11- 20","193,100","193,500","194,000","191,300","691.47K","0.05%"
"2024- 11- 19","193,000","190,300","194,200","190,200","915.15K","1.15%"
