"Date","Price","Open","High","Low","Vol.","Change %"
"2024- 12- 30","53,200","53,300","54,000","53,100","12.45M","-0.93%"
"2024- 12- 27","53,700","53,500","54,100","53,200","10.67M","0.19%"
"2024- 12- 26","53,600","54,500","54,600","53,500","10.42M","-1.47%"
"2024- 12- 24","54,400","53,700","54,500","53,600","11.56M","1.68%"
"2024- 12- 23","53,500","53,400","54,000","53,300","13.60M","0.94%"
"2024- 12- 20","53,000","52,700","53,100","51,900","24.12M","-0.19%"
"2024- 12- 19","53,100","53,500","53,800","53,100","22.14M","-3.28%"
"2024- 12- 18","54,900","54,100","55,400","54,000","13.59M","1.29%"
"2024- 12- 17","54,200","54,700","55,200","54,000","20.11M","-2.52%"
"2024- 12- 16","55,600","56,300","56,600","55,200","15.21M","-0.89%"
"2024- 12- 13","56,100","55,800","56,300","55,500","15.80M","0.36%"
"2024- 12- 12","55,900","54,000","56,500","53,900","32.33M","3.52%"
"2024- 12- 11","54,000","53,600","54,200","53,400","14.33M","0.00%"
"2024- 12- 10","54,000","54,500","54,500","53,700","20.57M","1.12%"
"2024- 12- 09","53,400","53,500","54,600","53,200","26.13M","-1.29%"
"2024- 12- 06","54,100","53,900","54,400","52,700","22.81M","0.74%"
"2024- 12- 05","53,700","53,200","54,400","53,200","23.25M","1.13%"
"2024- 12- 04","53,100","52,000","53,400","52,000","28.69M","-0.93%"
"2024- 12- 03","53,600","53,100","54,400","53,100","23.12M","0.00%"
"2024- 12- 02","53,600","54,300","54,400","53,100","21.84M","-1.11%"
"2024- 11- 29","54,200","55,100","55,300","53,800","23.85M","-2.34%"
"2024- 11- 28","55,500","56,000","56,400","55,200","19.76M","-1.42%"
"2024- 11- 27","56,300","57,700","57,800","56,000","21.66M","-3.43%"
"2024- 11- 26","58,300","57,900","58,900","57,500","22.73M","0.69%"
"2024- 11- 25","57,900","57,400","57,900","56,700","33.95M","3.39%"
"2024- 11- 22","56,000","56,000","56,700","55,900","15.13M","-0.71%"
"2024- 11- 21","56,400","54,900","56,900","54,700","18.99M","1.99%"
"2024- 11- 20","55,300","56,100","56,500","54,800","20.74M","-1.78%"
"2024- 11- 19","56,300","56,500","57,500","55,900","31.44M","-0.71%"
"2024- 11- 18","56,700","57,000","57,500","55,900","47.68M","5.98%"
"2024- 11- 15","53,500","50,300","54,200","50,300","43.75M","7.21%"
"2024- 11- 14","49,900","50,200","51,800","49,900","45.26M","-1.38%"
"2024- 11- 13","50,600","52,000","53,000","50,500","50.82M","-4.53%"
"2024- 11- 12","53,000","54,600","54,600","53,000","32.86M","-3.64%"
"2024- 11- 11","55,000","56,700","56,800","55,000","29.59M","-3.51%"
"2024- 11- 08","57,000","58,000","58,300","57,000","13.45M","-0.87%"
"2024- 11- 07","57,500","56,900","58,100","56,800","16.95M","0.35%"
"2024- 11- 06","57,300","57,600","58,000","56,300","21.90M","-0.52%"
"2024- 11- 05","57,600","57,800","58,100","57,200","17.29M","-1.87%"
"2024- 11- 04","58,700","58,600","59,400","58,400","15.47M","0.69%"
"2024- 11- 01","58,300","59,000","59,600","58,100","18.83M","-1.52%"
"2024- 10- 31","59,200","58,500","61,200","58,300","34.90M","0.17%"
"2024- 10- 30","59,100","59,100","59,800","58,600","19.18M","-0.84%"
"2024- 10- 29","59,600","58,000","59,600","57,300","27.87M","2.58%"
"2024- 10- 28","58,100","55,700","58,500","55,700","27.57M","3.94%"
"2024- 10- 25","55,900","56,000","56,900","55,800","25.51M","-1.24%"
"2024- 10- 24","56,600","58,200","58,500","56,600","30.70M","-4.23%"
"2024- 10- 23","59,100","57,500","60,000","57,100","27.11M","2.43%"
"2024- 10- 22","57,700","58,800","58,900","57,700","26.88M","-2.20%"
"2024- 10- 21","59,000","59,000","59,600","58,500","18.33M","-0.34%"
"2024- 10- 18","59,200","59,900","60,100","59,100","14.17M","-0.84%"
"2024- 10- 17","59,700","59,400","60,100","59,100","23.00M","0.34%"
"2024- 10- 16","59,500","59,400","60,000","59,200","23.02M","-2.46%"
"2024- 10- 15","61,000","61,100","61,400","60,100","20.65M","0.33%"
"2024- 10- 14","60,800","59,500","61,200","59,400","20.37M","2.53%"
"2024- 10- 11","59,300","59,100","60,100","59,000","28.90M","0.68%"
"2024- 10- 10","58,900","60,100","60,200","58,900","44.60M","-2.32%"
"2024- 10- 08","60,300","60,000","61,000","59,900","27.03M","-1.15%"
"2024- 10- 07","61,000","60,200","61,900","59,500","34.79M","0.66%"
"2024- 10- 04","60,600","61,000","61,700","60,500","23.11M","-1.14%"
"2024- 10- 02","61,300","60,500","61,900","59,900","28.07M","-0.33%"
"2024- 09- 30","61,500","64,200","64,300","61,500","32.18M","-4.21%"
"2024- 09- 27","64,200","64,700","65,400","64,200","26.70M","-0.77%"
"2024- 09- 26","64,700","63,900","64,900","63,700","36.99M","4.02%"
"2024- 09- 25","62,200","63,800","64,200","62,200","28.28M","-1.58%"
"2024- 09- 24","63,200","62,800","63,400","62,400","26.24M","0.96%"
"2024- 09- 23","62,600","62,300","63,500","62,200","28.28M","-0.63%"
"2024- 09- 20","63,000","63,800","64,700","63,000","30.04M","-0.16%"
"2024- 09- 19","63,100","64,000","64,400","62,200","48.73M","-2.02%"
"2024- 09- 13","64,400","65,000","65,500","64,300","24.84M","-2.87%"
"2024- 09- 12","66,300","66,000","66,600","65,200","35.41M","2.16%"
"2024- 09- 11","64,900","65,100","65,500","64,200","35.57M","-1.96%"
"2024- 09- 10","66,200","67,000","67,300","66,000","30.47M","-1.93%"
"2024- 09- 09","67,500","66,900","68,200","66,600","22.56M","-2.03%"
"2024- 09- 06","68,900","69,100","69,700","68,000","18.71M","-0.14%"
"2024- 09- 05","69,000","70,100","71,200","69,000","25.41M","-1.43%"
"2024- 09- 04","70,000","69,800","71,100","69,800","27.03M","-3.45%"
"2024- 09- 03","72,500","74,100","74,300","72,500","16.12M","-2.55%"
"2024- 09- 02","74,400","74,500","74,700","73,500","12.46M","0.13%"
"2024- 08- 30","74,300","74,400","75,000","74,100","13.57M","0.41%"
"2024- 08- 29","74,000","73,600","74,700","73,500","16.77M","-3.14%"
"2024- 08- 28","76,400","75,800","76,400","75,400","9.67M","0.79%"
"2024- 08- 27","75,800","75,700","76,500","75,600","10.98M","-0.39%"
"2024- 08- 26","76,100","78,100","78,200","76,000","15.56M","-2.06%"
"2024- 08- 23","77,700","77,700","78,400","77,500","9.35M","-0.77%"
"2024- 08- 22","78,300","78,700","78,900","77,800","8.10M","0.00%"
