"Date","Price","Open","High","Low","Vol.","Change %"
"2024- 12- 30","212,000","213,500","217,000","212,000","374.23K","-1.40%"
"2024- 12- 27","215,000","217,000","217,500","213,500","389.56K","-1.15%"
"2024- 12- 26","217,500","217,500","219,500","215,000","455.99K","0.46%"
"2024- 12- 24","216,500","215,000","217,000","213,000","350.80K","0.70%"
"2024- 12- 23","215,000","212,500","216,500","212,000","445.41K","2.14%"
"2024- 12- 20","210,500","210,500","211,500","206,000","700.75K","-0.71%"
"2024- 12- 19","212,000","213,000","214,000","210,500","630.38K","-2.08%"
"2024- 12- 18","216,500","207,500","217,000","207,500","709.34K","4.84%"
"2024- 12- 17","206,500","210,000","212,500","205,500","710.39K","-2.13%"
"2024- 12- 16","211,000","215,500","216,000","210,500","466.07K","-1.86%"
"2024- 12- 13","215,000","212,000","216,000","209,000","526.22K","1.65%"
"2024- 12- 12","211,500","210,500","213,000","209,500","606.32K","1.20%"
"2024- 12- 11","209,000","208,000","211,000","207,500","333.56K","-0.71%"
"2024- 12- 10","210,500","205,500","211,500","204,000","615.95K","4.73%"
"2024- 12- 09","201,000","201,000","203,000","200,000","769.97K","-1.23%"
"2024- 12- 06","203,500","203,500","206,000","200,000","767.17K","-0.49%"
"2024- 12- 05","204,500","209,000","210,500","204,000","586.07K","-2.15%"
"2024- 12- 04","209,000","208,500","213,000","207,000","916.93K","-2.56%"
"2024- 12- 03","214,500","218,000","218,000","213,500","611.16K","-0.69%"
"2024- 12- 02","216,000","219,500","220,500","215,000","518.26K","-1.14%"
"2024- 11- 29","218,500","219,000","220,000","214,500","558.70K","-0.23%"
"2024- 11- 28","219,000","224,000","225,000","218,000","591.34K","-0.90%"
"2024- 11- 27","221,000","220,000","226,500","218,500","1.09M","-1.12%"
"2024- 11- 26","223,500","218,000","224,500","216,500","720.68K","2.05%"
"2024- 11- 25","219,000","219,000","221,500","216,500","713.92K","0.92%"
"2024- 11- 22","217,000","216,000","218,500","214,500","417.51K","0.70%"
"2024- 11- 21","215,500","218,500","219,500","215,500","496.65K","-1.37%"
"2024- 11- 20","218,500","213,000","220,500","212,500","569.74K","1.39%"
"2024- 11- 19","215,500","217,000","219,000","213,000","521.28K","-0.69%"
"2024- 11- 18","217,000","206,000","218,000","206,000","1.11M","5.34%"
"2024- 11- 15","206,000","200,000","208,500","199,900","705.16K","2.23%"
"2024- 11- 14","201,500","200,500","203,500","197,300","815.37K","0.80%"
"2024- 11- 13","199,900","206,000","206,000","199,900","770.13K","-3.43%"
"2024- 11- 12","207,000","213,000","213,500","206,500","908.37K","-1.90%"
"2024- 11- 11","211,000","203,500","212,500","203,500","827.59K","3.69%"
"2024- 11- 08","203,500","209,500","210,500","202,500","705.63K","-1.93%"
"2024- 11- 07","207,500","203,500","210,500","201,000","1.00M","0.48%"
"2024- 11- 06","206,500","214,000","214,500","205,500","1.83M","-3.95%"
"2024- 11- 05","215,000","214,000","215,500","211,500","588.85K","-0.69%"
"2024- 11- 04","216,500","215,000","220,500","214,000","742.31K","1.41%"
"2024- 11- 01","213,500","212,500","216,500","211,500","755.65K","-0.70%"
"2024- 10- 31","215,000","220,500","221,500","215,000","1.05M","-2.49%"
"2024- 10- 30","220,500","223,000","225,000","220,500","542.02K","-1.56%"
"2024- 10- 29","224,000","226,000","226,500","221,000","741.60K","-1.10%"
"2024- 10- 28","226,500","226,000","229,000","224,000","630.95K","0.44%"
"2024- 10- 25","225,500","226,500","231,000","220,500","1.11M","-1.31%"
"2024- 10- 24","228,500","241,000","241,000","228,000","1.20M","-5.19%"
"2024- 10- 23","241,000","236,500","243,000","234,000","655.55K","2.77%"
"2024- 10- 22","234,500","236,000","239,000","232,500","514.89K","-1.05%"
"2024- 10- 21","237,000","235,000","240,000","234,500","438.02K","1.07%"
"2024- 10- 18","234,500","237,000","239,000","233,000","693.41K","-0.42%"
"2024- 10- 17","235,500","245,000","246,000","235,500","913.21K","-4.66%"
"2024- 10- 16","247,000","246,000","247,000","242,000","769.67K","0.41%"
"2024- 10- 15","246,000","249,500","249,500","246,000","377.61K","-1.01%"
"2024- 10- 14","248,500","250,500","254,000","248,000","303.58K","0.00%"
